 time            vo              q               p1              p2             
 5.00324094e-07 -8.40200786e-08 -5.89799393e-06  0.00000000e+00  0.00000000e+00 
 5.00351414e-07 -8.39688570e-08  2.21828125e-06  0.00000000e+00  0.00000000e+00 
 5.00390945e-07 -8.38947425e-08  2.07384654e-06  0.00000000e+00  0.00000000e+00 
 5.00470008e-07 -8.37465145e-08  6.18981183e-07  0.00000000e+00  0.00000000e+00 
 5.00604099e-07 -8.34951211e-08  1.33279696e-07  0.00000000e+00  0.00000000e+00 
 5.00865719e-07 -8.30046328e-08  4.03590953e-08  0.00000000e+00  0.00000000e+00 
 5.01181357e-07 -8.24128734e-08  4.75988513e-08  0.00000000e+00  0.00000000e+00 
 5.01494681e-07 -8.18254510e-08  5.71731790e-08  0.00000000e+00  0.00000000e+00 
 5.01716196e-07 -8.14101523e-08  5.95306158e-08  0.00000000e+00  0.00000000e+00 
 5.01999512e-07 -8.08789908e-08  5.84613026e-08  0.00000000e+00  0.00000000e+00 
 5.02099041e-07 -8.06923921e-08  5.69235554e-08  0.00000000e+00  0.00000000e+00 
 5.02176067e-07 -8.05479841e-08  5.98635743e-08  0.00000000e+00  0.00000000e+00 
 5.02275140e-07 -8.03622402e-08  6.33479342e-08  0.00000000e+00  0.00000000e+00 
 5.02326316e-07 -8.02662959e-08  7.62593937e-08  0.00000000e+00  0.00000000e+00 
 5.02364225e-07 -8.01952234e-08  1.04342437e-07  0.00000000e+00  0.00000000e+00 
 5.02414637e-07 -8.01007101e-08 -3.80112127e-08  0.00000000e+00  0.00000000e+00 
 5.02458340e-07 -8.00187756e-08  4.32890561e-08  0.00000000e+00  0.00000000e+00 
 5.02513804e-07 -7.99147924e-08  1.04553206e-07  0.00000000e+00  0.00000000e+00 
 5.02595207e-07 -7.97621760e-08  6.34730073e-08  0.00000000e+00  0.00000000e+00 
 5.02758015e-07 -7.94569432e-08  5.01857939e-08  0.00000000e+00  0.00000000e+00 
 5.03011840e-07 -7.89810696e-08  5.88138769e-08  0.00000000e+00  0.00000000e+00 
 5.03268087e-07 -7.85006558e-08  5.97618053e-08  0.00000000e+00  0.00000000e+00 
 5.03547431e-07 -7.79769407e-08  5.96573270e-08  0.00000000e+00  0.00000000e+00 
 5.03826936e-07 -7.74529221e-08  5.86422234e-08  0.00000000e+00  0.00000000e+00 
 5.04108881e-07 -7.69243307e-08  5.90716632e-08  0.00000000e+00  0.00000000e+00 
 5.04576750e-07 -7.60471655e-08  5.92944717e-08  0.00000000e+00  0.00000000e+00 
 5.05100000e-07 -7.50661737e-08  5.91545072e-08  0.00000000e+00  0.00000000e+00 
 5.05110000e-07 -7.50474256e-08  5.96119094e-08  0.00000000e+00  1.20000000e-01 
 5.05130000e-07 -7.50099295e-08  5.90439911e-08  0.00000000e+00  3.60000000e-01 
 5.05134792e-07 -7.50009460e-08  5.87324193e-08  0.00000000e+00  4.17500000e-01 
 5.05143177e-07 -7.49852250e-08  5.86411113e-08  0.00000000e+00  5.18125000e-01 
 5.05147777e-07 -7.49766002e-08  5.87231505e-08  0.00000000e+00  5.73329594e-01 
 5.05152060e-07  1.07568435e-05  3.64390799e-06  0.00000000e+00  6.24716318e-01 
 5.05156451e-07  2.54182382e-05 -3.48902255e-06  0.00000000e+00  6.77411535e-01 
 5.05161169e-07  4.24414094e-05 -1.04435803e-05  0.00000000e+00  7.34024648e-01 
 5.05168292e-07  6.87583471e-05 -9.51084768e-06  0.00000000e+00  8.19500677e-01 
 5.05174690e-07  9.26176161e-05 -9.74525306e-07  0.00000000e+00  8.96283615e-01 
 5.05178855e-07  1.08190872e-04  3.62677959e-06  0.00000000e+00  9.46254619e-01 
 5.05184847e-07  1.30611289e-04  9.04628676e-06  0.00000000e+00  1.01816086e+00 
 5.05189641e-07  1.48550901e-04  1.23669947e-05  0.00000000e+00  1.07569572e+00 
 5.05195426e-07  1.70191429e-04  9.79402336e-06  0.00000000e+00  1.14511141e+00 
 5.05200000e-07  1.87299895e-04  5.35263274e-06  0.00000000e+00  1.20000000e+00 
 5.05200813e-07  1.90339163e-04  4.47360177e-06  0.00000000e+00  1.20000000e+00 
 5.05202438e-07  1.96417466e-04  2.95724114e-06  0.00000000e+00  1.20000000e+00 
 5.05205689e-07  2.08572870e-04  8.38211166e-07  0.00000000e+00  1.20000000e+00 
 5.05212190e-07  2.32878319e-04 -1.27134175e-06  0.00000000e+00  1.20000000e+00 
 5.05225192e-07  2.81466314e-04 -2.31584454e-06  0.00000000e+00  1.20000000e+00 
 5.05243235e-07  3.48835455e-04 -1.86396639e-06  0.00000000e+00  1.20000000e+00 
 5.05264330e-07  4.27524819e-04 -9.71617401e-07  0.00000000e+00  1.20000000e+00 
 5.05285876e-07  5.07813073e-04 -2.72928358e-07  0.00000000e+00  1.20000000e+00 
 5.05310942e-07  6.01104978e-04  1.67294921e-07  0.00000000e+00  1.20000000e+00 
 5.05339241e-07  7.06289650e-04  3.07239079e-07  0.00000000e+00  1.20000000e+00 
 5.05375753e-07  8.41782018e-04  2.47170985e-07  0.00000000e+00  1.20000000e+00 
 5.05423511e-07  1.01863315e-03  1.22123274e-07  0.00000000e+00  1.20000000e+00 
 5.05496105e-07  1.28664998e-03  4.25283435e-08  0.00000000e+00  1.20000000e+00 
 5.05620409e-07  1.74332690e-03  3.78023881e-08  0.00000000e+00  1.20000000e+00 
 5.05869017e-07  2.64822568e-03  5.66205763e-08  0.00000000e+00  1.20000000e+00 
 5.06366234e-07  4.42475682e-03  6.06837033e-08  0.00000000e+00  1.20000000e+00 
 5.07320388e-07  7.71355360e-03  5.93510395e-08  0.00000000e+00  1.20000000e+00 
 5.08834221e-07  1.26232883e-02  5.91303153e-08  0.00000000e+00  1.20000000e+00 
 5.10420030e-07  1.73856367e-02  5.91551769e-08  0.00000000e+00  1.20000000e+00 
 5.12418360e-07  2.28768943e-02  5.91583831e-08  0.00000000e+00  1.20000000e+00 
 5.14463493e-07  2.79584154e-02  5.91581327e-08  0.00000000e+00  1.20000000e+00 
 5.16847106e-07  3.32635550e-02  5.91580981e-08  0.00000000e+00  1.20000000e+00 
 5.19317062e-07  3.81339977e-02  5.91580996e-08  0.00000000e+00  1.20000000e+00 
 5.22098647e-07  4.29464733e-02  5.91580999e-08  0.00000000e+00  1.20000000e+00 
 5.24796317e-07  4.70145664e-02  5.91581001e-08  0.00000000e+00  1.20000000e+00 
 5.27576639e-07  5.06686255e-02  5.91581000e-08  0.00000000e+00  1.20000000e+00 
 5.30266309e-07  5.37485460e-02  5.91581001e-08  0.00000000e+00  1.20000000e+00 
 5.33001802e-07  5.64811759e-02  5.91581002e-08  0.00000000e+00  1.20000000e+00 
 5.35683067e-07  5.88179096e-02  5.91581000e-08  0.00000000e+00  1.20000000e+00 
 5.38401221e-07  6.08857805e-02  5.91581001e-08  0.00000000e+00  1.20000000e+00 
 5.41087470e-07  6.26693135e-02  5.91580999e-08  0.00000000e+00  1.20000000e+00 
 5.43800440e-07  6.42417209e-02  5.91581000e-08  0.00000000e+00  1.20000000e+00 
 5.46492586e-07  6.56035087e-02  5.91580999e-08  0.00000000e+00  1.20000000e+00 
 5.49202610e-07  6.68000657e-02  5.91581003e-08  0.00000000e+00  1.20000000e+00 
 5.51984731e-07  6.78700741e-02  5.91581000e-08  0.00000000e+00  1.20000000e+00 
 5.54917796e-07  6.88475020e-02  5.91581002e-08  0.00000000e+00  1.20000000e+00 
 5.57978964e-07  6.97252694e-02  5.91581000e-08  0.00000000e+00  1.20000000e+00 
 5.61219658e-07  7.05187719e-02  5.91580998e-08  0.00000000e+00  1.20000000e+00 
 5.64616867e-07  7.12230552e-02  5.91581002e-08  0.00000000e+00  1.20000000e+00 
 5.68217589e-07  7.18493876e-02  5.91581000e-08  0.00000000e+00  1.20000000e+00 
 5.72013514e-07  7.23978133e-02  5.91581000e-08  0.00000000e+00  1.20000000e+00 
 5.76053566e-07  7.28772835e-02  5.91581000e-08  0.00000000e+00  1.20000000e+00 
 5.80344468e-07  7.32903534e-02  5.91581001e-08  0.00000000e+00  1.20000000e+00 
 5.84940602e-07  7.36442288e-02  5.91580999e-08  0.00000000e+00  1.20000000e+00 
 5.89865772e-07  7.39426457e-02  5.91581001e-08  0.00000000e+00  1.20000000e+00 
 5.95186601e-07  7.41917025e-02  5.91581002e-08  0.00000000e+00  1.20000000e+00 
 6.00950935e-07  7.43956925e-02  5.91581000e-08  0.00000000e+00  1.20000000e+00 
 6.07249968e-07  7.45600254e-02  5.91580998e-08  0.00000000e+00  1.20000000e+00 
 6.14170781e-07  7.46891820e-02  5.91581002e-08  0.00000000e+00  1.20000000e+00 
 6.21853026e-07  7.47880813e-02  5.91581001e-08  0.00000000e+00  1.20000000e+00 
 6.30456509e-07  7.48611336e-02  5.91580999e-08  0.00000000e+00  1.20000000e+00 
 6.40222190e-07  7.49128142e-02  5.91581002e-08  0.00000000e+00  1.20000000e+00 
 6.50222190e-07  7.49440648e-02  5.91581001e-08  0.00000000e+00  1.20000000e+00 
 6.60222190e-07  7.49620206e-02  5.91581000e-08  0.00000000e+00  1.20000000e+00 
 6.70222190e-07  7.49721634e-02  5.91581001e-08  0.00000000e+00  1.20000000e+00 
 6.80222190e-07  7.49778172e-02  5.91581002e-08  0.00000000e+00  1.20000000e+00 
 6.90222190e-07  7.49809351e-02  5.91581000e-08  0.00000000e+00  1.20000000e+00 
 7.00222190e-07  7.49826396e-02  5.91581001e-08  0.00000000e+00  1.20000000e+00 
